service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2016-COMBNXT-Weekday-04,1,1,1,1,1,0,0,20170210,20170217
2016-COMBNXT-Saturday-06,0,0,0,0,0,1,0,20170211,20170211
2016-COMBNXT-Sunday-04,0,0,0,0,0,0,1,20170212,20170212
2016-COMBNXT-Saturday-07,0,0,0,0,0,1,0,20170218,20170218
2016-COMBNXT-Sunday-05,0,0,0,0,0,0,1,20170219,20170219
2016-COMBNXT-Weekday-05,1,1,1,1,1,0,0,20170220,20170331
2016-COMBNXT-Saturday-08,0,0,0,0,0,1,0,20170225,20170225
2016-COMBNXT-Sunday-06,0,0,0,0,0,0,1,20170226,20170226
2016-COMBNXT-Saturday-09,0,0,0,0,0,1,0,20170304,20170325
2016-COMBNXT-Sunday-07,0,0,0,0,0,0,1,20170305,20170326
