route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-10385,1,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
1-10397,1,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
2-10385,2,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
2-10397,2,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
3-10385,3,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
3-10397,3,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
4-10385,4,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
4-10397,4,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
5-10385,5,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
5-10397,5,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
7-10385,7,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
7-10397,7,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
8-10385,8,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
8-10397,8,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
9-10385,9,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
9-10397,9,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
10-10385,10,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
10-10397,10,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
11-10385,11,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
11-10397,11,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
12-10385,12,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
12-10397,12,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
14-10385,14,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
14-10397,14,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
15-10385,15,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
15-10397,15,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
16-10385,16,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
16-10397,16,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
17-10385,17,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
17-10397,17,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
18-10385,18,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
18-10397,18,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
19-10385,19,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
19-10397,19,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
21-10385,21,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
21-10397,21,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
22-10385,22,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
22-10397,22,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
23-10385,23,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
23-10397,23,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
24-10385,24,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
24-10397,24,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
25-10385,25,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
25-10397,25,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
26-10385,26,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
26-10397,26,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
27-10385,27,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
27-10397,27,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
30-10385,30,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
30-10397,30,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
31-10385,31,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
31-10397,31,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
39-10385,39,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
39-10397,39,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
40-10385,40,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
40-10397,40,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
43-10385,43,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
43-10397,43,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
44-10385,44,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
44-10397,44,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
45-10385,45,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
45-10397,45,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
51-10385,51,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
51-10397,51,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
52-10385,52,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
52-10397,52,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
54-10385,54,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
54-10397,54,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
55-10385,55,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
55-10397,55,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
56-10385,56,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
56-10397,56,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
57-10385,57,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
57-10397,57,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
58-10385,58,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
58-10397,58,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
59-10385,59,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
59-10397,59,"",,3,http://www.transport.act.gov.au/routes-and-timetables/timetables/
