route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1-10385,2016-COMBNXT-Weekday-04,28177725-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177726-2016-COMBNXT-Weekday-04,"South",1,10051,2
1-10385,2016-COMBNXT-Weekday-04,28177727-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177728-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177729-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177730-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177731-2016-COMBNXT-Weekday-04,"South",1,10051,1
1-10385,2016-COMBNXT-Weekday-04,28177732-2016-COMBNXT-Weekday-04,"South",1,10051,2
1-10385,2016-COMBNXT-Weekday-04,28177733-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177734-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177735-2016-COMBNXT-Weekday-04,"North",0,10018,2
1-10385,2016-COMBNXT-Weekday-04,28177736-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177737-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177738-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177739-2016-COMBNXT-Weekday-04,"North",0,10018,2
1-10385,2016-COMBNXT-Weekday-04,28177740-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177741-2016-COMBNXT-Weekday-04,"North",0,10018,2
1-10385,2016-COMBNXT-Weekday-04,28177742-2016-COMBNXT-Weekday-04,"North",0,10018,1
1-10385,2016-COMBNXT-Weekday-04,28177743-2016-COMBNXT-Weekday-04,"South",1,10051,1
2-10385,2016-COMBNXT-Weekday-04,28177744-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177745-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177746-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177747-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177748-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177749-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177750-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177751-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177752-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177753-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177754-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177755-2016-COMBNXT-Weekday-04,"South",1,20054,2
2-10385,2016-COMBNXT-Weekday-04,28177756-2016-COMBNXT-Weekday-04,"South",1,20054,2
2-10385,2016-COMBNXT-Weekday-04,28177757-2016-COMBNXT-Weekday-04,"South",1,20054,1
2-10385,2016-COMBNXT-Weekday-04,28177758-2016-COMBNXT-Weekday-04,"South",1,20055,2
2-10385,2016-COMBNXT-Weekday-04,28177759-2016-COMBNXT-Weekday-04,"North",0,20035,1
2-10385,2016-COMBNXT-Weekday-04,28177760-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177761-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177762-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177763-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177764-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177765-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177766-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177767-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177768-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177769-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177770-2016-COMBNXT-Weekday-04,"North",0,20034,2
2-10385,2016-COMBNXT-Weekday-04,28177771-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177772-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177773-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177774-2016-COMBNXT-Weekday-04,"North",0,20034,2
2-10385,2016-COMBNXT-Weekday-04,28177775-2016-COMBNXT-Weekday-04,"North",0,20034,1
2-10385,2016-COMBNXT-Weekday-04,28177776-2016-COMBNXT-Weekday-04,"South",1,20054,1
3-10385,2016-COMBNXT-Weekday-04,28177777-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177778-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177779-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177780-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177781-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177782-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177783-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177784-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177785-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177786-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177787-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177788-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177789-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177790-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177791-2016-COMBNXT-Weekday-04,"South",1,30045,1
3-10385,2016-COMBNXT-Weekday-04,28177792-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177793-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177794-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177795-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177796-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177797-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177798-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177799-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177800-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177801-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177802-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177803-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177804-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177805-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177806-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177807-2016-COMBNXT-Weekday-04,"North",0,30043,1
3-10385,2016-COMBNXT-Weekday-04,28177808-2016-COMBNXT-Weekday-04,"North",0,30043,1
4-10385,2016-COMBNXT-Weekday-04,28177809-2016-COMBNXT-Weekday-04,"South",1,40088,1
4-10385,2016-COMBNXT-Weekday-04,28177810-2016-COMBNXT-Weekday-04,"South",1,40089,1
4-10385,2016-COMBNXT-Weekday-04,28177811-2016-COMBNXT-Weekday-04,"South",1,40089,1
4-10385,2016-COMBNXT-Weekday-04,28177812-2016-COMBNXT-Weekday-04,"South",1,40089,1
